WEEK;VISITING;HOME;DATE;TIME;TV
WEEK 1;BAL;@DEN;THURSDAY, SEPTEMBER 5TH;8:30PM ET;NBC
WEEK 1;NE;@BUF;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;CIN;@CHI;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;MIA;@CLE;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;OAK;@IND;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;KAN;@JAC;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;TB;@NYJ;SUNDAY, SEPTEMBER 8TH;1:00PM ET;FOX
WEEK 1;TEN;@PIT;SUNDAY, SEPTEMBER 8TH;1:00PM ET;CBS
WEEK 1;ATL;@NO;SUNDAY, SEPTEMBER 8TH;1:00PM ET;FOX
WEEK 1;SEA;@CAR;SUNDAY, SEPTEMBER 8TH;1:00PM ET;FOX
WEEK 1;MIN;@DET;SUNDAY, SEPTEMBER 8TH;1:00PM ET;FOX
WEEK 1;GB;@SF;SUNDAY, SEPTEMBER 8TH;4:25PM ET;FOX
WEEK 1;ARI;@STL;SUNDAY, SEPTEMBER 8TH;4:25PM ET;FOX
WEEK 1;NYG;@DAL;SUNDAY, SEPTEMBER 8TH;8:30PM ET;NBC
WEEK 1;PHI;@WAS;MONDAY, SEPTEMBER 9TH;7:10PM ET;ESPN
WEEK 1;HOU;@SD;MONDAY, SEPTEMBER 9TH;10:20PM ET;ESPN
